counter,c_speed,lf_speed,absolute_error,within_tolerance
0,0.0,0.0,0.0,True
1,0.0,0.0,0.0,True
2,2.11148,2.111480236,2.3599999998680232e-07,True
3,2.312791,2.312791109,1.0900000013691624e-07,True
4,2.36808,2.368079662,3.379999999886252e-07,True
5,2.425485,2.425484657,3.429999999582378e-07,True
6,2.643995,2.643994808,1.9199999989893968e-07,True
7,2.675309,2.67530942,4.2000000011199745e-07,True
8,2.729854,2.729854107,1.069999999714355e-07,True
9,2.785904,2.785903931,6.899999993592587e-08,True
10,2.785904,2.785903931,6.899999993592587e-08,True
11,2.846918,2.846917868,1.3200000026358794e-07,True
12,2.903425,2.90342474,2.599999997521252e-07,True
13,2.958163,2.958163261,2.6100000027895476e-07,True
14,3.015177,3.015176535,4.6499999983851126e-07,True
15,3.030833,3.030832529,4.709999998908643e-07,True
16,3.087846,3.087845564,4.3599999965948655e-07,True
17,3.101762,3.10176158,4.2000000011199745e-07,True
18,3.20577,3.205770493,4.930000003788848e-07,True
19,3.260315,3.26031518,1.8000000023832285e-07,True
20,3.316821,3.316821337,3.369999999058848e-07,True
21,3.371808,3.371807814,1.8600000029067587e-07,True
22,3.39094,3.390939951,4.900000005747529e-08,True
23,3.453614,3.453613758,2.4200000003915534e-07,True
24,3.455353,3.455353022,2.2000000043931323e-08,True
25,3.458832,3.458831549,4.510000000124137e-07,True
26,3.513237,3.513237238,2.3799999970819385e-07,True
27,3.568525,3.568525314,3.139999997792131e-07,True
28,3.573743,3.573742628,3.719999996931733e-07,True
29,3.682679,3.682678938,6.199999980083248e-08,True
30,3.795691,3.795690775,2.2499999996483666e-07,True
31,4.020777,4.020776749,2.5099999945155105e-07,True
32,4.24335,4.243350029,2.89999997349355e-08,True
33,4.304365,4.304364681,3.1899999974882576e-07,True
34,4.307844,4.307844162,1.620000000812638e-07,True
35,4.318283,4.318283081,8.099999959654269e-08,True
36,4.42722,4.427219868,1.3200000026358794e-07,True
37,4.536932,4.536931515,4.85000000161051e-07,True
38,4.646201,4.646201134,1.3400000042906868e-07,True
39,4.778057,4.778057098,9.799999922677216e-08,True
40,4.79893,4.798929691,3.090000006977789e-07,True
41,4.969967,4.969966888,1.1199999949695894e-07,True
42,5.003013,5.003012657,3.429999999582378e-07,True
43,5.06118,5.061180115,1.1499999974518005e-07,True
44,5.118192,5.118191719,2.809999992692269e-07,True
45,5.174697,5.174696922,7.80000002365e-08,True
46,5.287707,5.287707329,3.2899999968805105e-07,True
47,5.399385,5.399384975,2.4999999403974016e-08,True
48,5.454371,5.454370975,2.5000000292152436e-08,True
49,5.510013,5.510013103,1.0300000052865244e-07,True
50,5.510013,5.510013103,1.0300000052865244e-07,True
51,5.516968,5.51696825,2.499999993688107e-07,True
52,5.534356,5.53435564,3.599999995884673e-07,True
53,5.645272,5.645271778,2.2200000060479397e-07,True
54,5.765737,5.76573658,4.2000000011199745e-07,True
55,5.88937,5.889369965,3.5000000231377726e-08,True
56,5.952035,5.952035427,4.2699999980300163e-07,True
57,6.010845,6.010844707,2.9299999937393295e-07,True
58,6.126559,6.126559258,2.5800000003073364e-07,True
59,6.184722,6.184721947,5.2999999944347564e-08,True
60,6.24353,6.243530273,2.730000003836608e-07,True
61,6.302338,6.302338123,1.2300000040710302e-07,True
62,6.314504,6.314504147,1.4699999972833666e-07,True
63,6.375505,6.375505447,4.469999996814522e-07,True
64,6.436506,6.436506271,2.7100000021818005e-07,True
65,6.438244,6.438244343,3.429999999582378e-07,True
66,6.49323,6.493229866,1.3399999954089026e-07,True
67,6.550238,6.550238132,1.3199999937540952e-07,True
68,6.606741,6.606740952,4.800000041882413e-08,True
69,6.663749,6.663749218,2.1800000027383248e-07,True
70,6.698511,6.698511124,1.240000004898434e-07,True
71,6.747178,6.747177601,3.990000001508065e-07,True
72,6.792368,6.792367935,6.50000000490536e-08,True
73,6.841034,6.841034412,4.120000003382529e-07,True
74,6.889701,6.88970089,1.0999999933147819e-07,True
75,6.940105,6.940105438,4.379999998249673e-07,True
76,6.988772,6.988771915,8.499999992750418e-08,True
77,7.058313,7.05831337,3.699999995276926e-07,True
78,7.100029,7.100028992,7.999999773744548e-09,True
79,7.143483,7.143482685,3.149999994178643e-07,True
80,7.176507,7.176507473,4.73000000056345e-07,True
81,7.240978,7.240977764,2.3599999998680232e-07,True
82,7.31162,7.311619759,2.4099999951232576e-07,True
83,7.360288,7.360287666,3.340000001017529e-07,True
84,7.433203,7.433202744,2.559999998652529e-07,True
85,7.498628,7.498627663,3.37000000349974e-07,True
86,7.577611,7.57761097,2.999999981767587e-08,True
87,7.656594,7.656594276,2.759999997437035e-07,True
88,7.715696,7.715696335,3.3499999929631485e-07,True
89,7.783123,7.783123016,1.6000000435667516e-08,True
90,7.897142,7.897141933,6.699999932635592e-08,True
91,7.924957,7.924956799,2.009999997554246e-07,True
92,8.035872,8.035872459,4.5900000067433666e-07,True
93,8.100347,8.100346565,4.3499999868856776e-07,True
94,8.212442,8.212442398,3.9800000095624455e-07,True
95,8.32412,8.324119568,4.320000002167035e-07,True
96,8.378664,8.378664017,1.6999999630229468e-08,True
97,8.490342,8.49034214,1.3999999914915406e-07,True
98,8.602883,8.602883339,3.3899999962727634e-07,True
99,8.663893,8.663892746,2.5399999969977216e-07,True
